time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.share_expert_up_proj.min,time_stats.share_expert_up_proj.max,time_stats.share_expert_up_proj.mean,time_stats.share_expert_up_proj.median,time_stats.share_expert_up_proj.std,time_stats.share_expert_act.min,time_stats.share_expert_act.max,time_stats.share_expert_act.mean,time_stats.share_expert_act.median,time_stats.share_expert_act.std,time_stats.share_expert_down_proj.min,time_stats.share_expert_down_proj.max,time_stats.share_expert_down_proj.mean,time_stats.share_expert_down_proj.median,time_stats.share_expert_down_proj.std,time_stats.mtp_fusion_proj.min,time_stats.mtp_fusion_proj.max,time_stats.mtp_fusion_proj.mean,time_stats.mtp_fusion_proj.median,time_stats.mtp_fusion_proj.std,time_stats.lm_head_linear.min,time_stats.lm_head_linear.max,time_stats.lm_head_linear.mean,time_stats.lm_head_linear.median,time_stats.lm_head_linear.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature
0.02425600029528141,0.038784001022577286,0.028764800168573856,0.028528000228106976,0.004040162178813912,0.08895999938249588,0.10742399841547012,0.09283199980854988,0.09137600287795067,0.0049672514404114606,0.0437760017812252,0.1743039935827255,0.0525983994826674,0.0443519987165927,0.0289847872960169,0.0103040002286434,0.0415039993822574,0.0137535999529063,0.0104000000283122,0.0085630446417855,0.0448959991335868,0.0573760010302066,0.0521344000473618,0.051775999367237,0.0027684089025057,0.08582399785518646,0.0947519987821579,0.08844159990549087,0.08791999891400337,0.001968730322519581,0.0329920016229152,0.0356479994952678,0.0345696000382304,0.0344320014119148,0.0007311911323019,0.0360959991812706,0.0398720018565654,0.0368831999599933,0.0365599989891052,0.0010538356657038,0.0353920012712478,0.037856001406908,0.0366736000403761,0.0369279999285936,0.0007501578216448,0.047775998711586,0.0596159994602203,0.0493343997746706,0.0487039983272552,0.0024457735217674,0.3613120019435882,0.3732480108737945,0.3642080008983612,0.3634079992771148,0.0026017122990514,16,2,2048,512,151936,True,True,True,1,1,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.10326399654150009,0.1398400068283081,0.11869039982557297,0.12489600107073784,0.011991135526087514,0.10953599959611893,0.11814399808645248,0.11272320002317429,0.11192000284790993,0.0025534191737647915,0.1717119961977005,0.2478400021791458,0.1827359996736049,0.1782720014452934,0.016774540452379,0.0332159996032714,0.0394559986889362,0.0344751998782157,0.0340160001069307,0.0013497883149793,0.0473279990255832,0.0532159991562366,0.0489151997491717,0.0487679988145828,0.0013275717014201,0.08979199826717377,0.1053759977221489,0.09359359927475452,0.09241599962115288,0.004058864508855151,0.0336319990456104,0.0362880006432533,0.0346400002017617,0.0345600005239248,0.0006392394318587,0.0356799997389316,0.0541119985282421,0.0377135997638106,0.0368160009384155,0.0038031761502586,0.0357440002262592,0.0439359992742538,0.0372576000168919,0.0369440000504255,0.0016273846938549,0.103872001171112,0.1223039999604225,0.1098864004015922,0.1089120022952556,0.0046180940389894,0.2054080069065094,0.2093760073184967,0.2067072004079818,0.2065920010209083,0.0010022907393526,16,2,2048,512,151936,True,True,True,1,2,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.024320000782608986,0.0379519984126091,0.029025599639862776,0.02897600084543228,0.004130423458906581,0.09673599898815155,0.11324799805879593,0.10079199969768524,0.09950399771332741,0.004076689791923894,0.0558400005102157,0.20796799659729,0.0642672002315521,0.0566719993948936,0.0329752286992791,0.0102719999849796,0.034655999392271,0.0123968000058084,0.010319999884814,0.0061928176475944,0.0531199984252452,0.070592001080513,0.0570416001603007,0.0556160006672143,0.0046962488897668,0.09465599805116653,0.10889600217342377,0.09696000069379807,0.09614400193095207,0.0031153113494725372,0.0381760001182556,0.0402880012989044,0.039015999995172,0.0389599986374378,0.0005130863482254,0.0361919999122619,0.0385919995605945,0.0369808001443743,0.0367040000855922,0.0006354457962115,0.0388480015099048,0.0410879999399185,0.039632000401616,0.0395839996635913,0.000491020150457,0.0500480011105537,0.0541119985282421,0.0520959999412298,0.0518720000982284,0.0010715938248561,0.363968014717102,0.3681280016899109,0.3656816020607948,0.3655680119991302,0.0011674282938993,16,2,2048,512,151936,True,True,True,2,1,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.1034879982471466,0.1369599997997284,0.11880320012569427,0.12220800295472145,0.012189172950013294,0.11680000275373459,0.1361600011587143,0.12245440036058426,0.12059200182557106,0.004727366689040694,0.2017599940299987,0.2867839932441711,0.2142863981425762,0.2085599973797798,0.0184125704438185,0.0337920002639293,0.0373440012335777,0.034489600174129,0.0342399999499321,0.0007587175207217,0.0550080016255378,0.0598400011658668,0.057006400078535,0.0566719993948936,0.0011878201102042,0.09795200079679489,0.11046399921178818,0.10188159942626954,0.10104000195860863,0.0030333160861673964,0.038816001266241,0.041312001645565,0.03984000030905,0.0396800003945827,0.0006579877148424,0.0366719998419284,0.0438399985432624,0.0383792001754045,0.0381760001182556,0.0015840569676395,0.0388800017535686,0.0428479984402656,0.0403583999723196,0.0404319986701011,0.0008636204974244,0.1125119999051094,0.1252799928188324,0.1176655989140272,0.1175519973039627,0.0038831102536818,0.2269760072231292,0.2372799962759018,0.2332064010202884,0.2337280064821243,0.0021910310883108,16,2,2048,512,151936,True,True,True,2,2,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.02425600029528141,0.03548799827694893,0.029031199822202324,0.029887999407947063,0.0038318677732543643,0.09468799829483032,0.11286400258541107,0.09959999993443489,0.09859199821949005,0.003700735347980376,0.0556799992918968,0.2129600048065185,0.0648064002394676,0.0571839995682239,0.0339940976300285,0.0102399997413158,0.0358720012009143,0.0120800000615417,0.010319999884814,0.0057717526428144,0.0534720011055469,0.0571199990808963,0.0548976002261042,0.0546079985797405,0.0010299562401216,0.09247999638319016,0.1106560006737709,0.096646399050951,0.0963199995458126,0.003768964894025794,0.0384000018239021,0.0406400002539157,0.0396400002762675,0.0397120006382465,0.0005003546817503,0.0361919999122619,0.0396800003945827,0.0376608001068234,0.0374879986047744,0.0008498334526269,0.0386239998042583,0.0409919992089271,0.0398431997746229,0.0398240014910697,0.0005456820877818,0.0502719990909099,0.0529920011758804,0.0515952002257108,0.0516320001333951,0.0007040928660641,0.3685120046138763,0.3720960021018982,0.3699600011110305,0.3700159937143326,0.0009307486951392,16,2,2048,512,151936,True,True,True,4,1,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.10316800326108932,0.14035199582576752,0.11780239958316088,0.11800000071525574,0.012892617380747807,0.1173119992017746,0.1430719941854477,0.12056799978017807,0.11852800101041794,0.0055987445100670495,0.2029760032892227,0.2657600045204162,0.2114047981798648,0.2067039981484413,0.0134783971001943,0.0331839993596077,0.0369280017912387,0.0347520001232624,0.0348160006105899,0.0009230216650095,0.0547199994325637,0.0680959969758987,0.056739199720323,0.0558560006320476,0.0027697265366744,0.09862399846315384,0.10918399691581726,0.10110719874501228,0.10043199732899666,0.0027624062341654394,0.0384000018239021,0.041567999869585,0.0393936002627015,0.0391359999775886,0.0008355293890402,0.0362560003995895,0.0436800010502338,0.0379663996398449,0.0375039987266063,0.0017006870249986,0.0393600016832351,0.0485760010778903,0.0410640003159642,0.0406240001320838,0.0019217291192969,0.1123519986867904,0.128383994102478,0.1164336003363132,0.1146240010857582,0.0044066041716152,0.2120960056781768,0.2226880043745041,0.2140064015984535,0.2135839983820915,0.0021518931305146,16,2,2048,512,151936,True,True,True,4,2,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.024383999407291412,0.03593600168824196,0.029063999792560934,0.029040000401437283,0.004001060730738731,0.0968639999628067,0.10963200032711029,0.10002400018274785,0.09894400089979172,0.003230968067296449,0.0565759986639022,0.206496000289917,0.0646751999855041,0.0570879988372325,0.0325387637006662,0.0102719999849796,0.0342399999499321,0.0117728000041097,0.0106560001149773,0.0051560123394045,0.0381439998745918,0.056768000125885,0.0473232001066207,0.0474560000002384,0.0051906850724355,0.09391999989748001,0.10208000242710114,0.09617599956691265,0.09551999717950821,0.0018478584390637766,0.0364799983799457,0.0392960011959075,0.0375871999189257,0.0376639999449253,0.0006956893786271,0.0355839990079402,0.0407360009849071,0.0370688000693917,0.0366559997200965,0.001278615332683,0.0387200005352497,0.0413759984076023,0.0394047999754548,0.0392160005867481,0.000671801635634,0.0519040003418922,0.0555519983172416,0.0530303996056318,0.0529280006885528,0.0009040549632224,0.3744960129261017,0.3846719861030578,0.377931198477745,0.3771999925374985,0.0022197268734809,16,2,2048,512,151936,True,True,True,8,1,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.10393600165843964,0.13891200721263885,0.11838000044226646,0.12017600238323212,0.012772616114060486,0.11711999773979187,0.13023999333381653,0.119633599370718,0.1188799999654293,0.0027525660063592292,0.2040639966726303,0.2782079875469208,0.2151184000074863,0.2077440023422241,0.0197630268541849,0.0329920016229152,0.0493119992315769,0.0350479999557137,0.0341279990971088,0.0033863782214799,0.0549440011382103,0.070431999862194,0.0571504002436995,0.0563200004398822,0.0032060338577489,0.09884800016880035,0.11497599631547928,0.10178719982504844,0.10047999769449234,0.0038434813859818066,0.0384959988296031,0.0424959994852542,0.0397935999557375,0.0396480001509189,0.0009776234384928,0.0356479994952678,0.0397120006382465,0.0375584000721573,0.0374080017209053,0.0009425125454707,0.0393919982016086,0.0420479997992515,0.0403743999078869,0.0402719993144273,0.0007011651826114,0.1126080006361007,0.1280640065670013,0.117510399967432,0.1165759973227977,0.0039071687242515,0.2139839977025985,0.2298559993505478,0.216686400026083,0.2161919996142387,0.0032131163300556,16,2,2048,512,151936,True,True,True,8,2,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.02454400062561035,0.03721600025892258,0.02980720018967986,0.031728001311421394,0.00421042675882625,0.09654399752616882,0.10675200074911118,0.09950879998505116,0.09888000041246414,0.002452926777676764,0.0577600002288818,0.2364799976348877,0.0680863995105028,0.0594559982419014,0.0386357387566645,0.0105600003153085,0.0357440002262592,0.0119567998684942,0.0106239998713135,0.0054592814436084,0.0251519996672868,0.0562239997088909,0.0385423998348414,0.0377440005540847,0.008132341766584,0.09398400038480759,0.10835199803113937,0.09674719981849193,0.09539199993014336,0.0038366684899172336,0.0381760001182556,0.0400319993495941,0.0391199998557567,0.0390079990029335,0.0006363492270776,0.0357119999825954,0.0402880012989044,0.0370960000902414,0.0371199995279312,0.0009331651444144,0.0379199981689453,0.0410239994525909,0.0398671997711062,0.0402080006897449,0.000926856057338,0.0494079999625682,0.0532479993999004,0.0506528001278638,0.0503679998219013,0.001114679563467,0.3835520148277282,0.3890880048274994,0.3860511988401413,0.3860960006713867,0.0013769625221818,16,2,2048,512,151936,True,True,True,16,1,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.10371199995279312,0.15078400075435638,0.1185480011627078,0.11875199899077415,0.013376834937163387,0.11638399958610535,0.13260799646377563,0.11997119970619678,0.11881599947810173,0.0034693354787502123,0.2034559994935989,0.2745279967784881,0.2127792000770569,0.2080480009317398,0.0151243154399922,0.0335040017962455,0.035615999251604,0.0343071997165679,0.0343040004372596,0.0005378379421562,0.0511999987065792,0.0551999993622303,0.0531199997290968,0.0532479993999004,0.0010564847479183,0.09801600128412247,0.10902400314807892,0.10115520022809506,0.1005759984254837,0.002720920966058224,0.0385599993169307,0.0548480004072189,0.0404960000887513,0.0395839996635913,0.0033716902150989,0.0364160016179084,0.0399679988622665,0.0378768000751733,0.0379200000315904,0.0009029026772979,0.0393600016832351,0.0453439988195896,0.0406015999615192,0.0402560010552406,0.001393069527902,0.1139520034193992,0.128383994102478,0.1167695995420217,0.1159520000219345,0.0032109634932075,0.2194560021162033,0.2224960029125213,0.2202527992427349,0.2200959995388984,0.0006980772234579,16,2,2048,512,151936,True,True,True,16,2,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.10911999642848969,0.15654399991035461,0.12443920001387596,0.12622400000691414,0.01353339507045589,0.1170559972524643,0.12729600071907043,0.11993279978632927,0.1194400005042553,0.0024063258003581096,0.0443839989602565,2.045759916305542,0.2751759959384799,0.207344003021717,0.4109054067294726,0.0096640000119805,0.051520001143217,0.0314815999474376,0.0341759994626045,0.0098501677015239,0.0206719990819692,0.0596479997038841,0.0457632002420723,0.0490720011293888,0.0107059725689832,0.09702400118112564,0.10476800054311752,0.09976640082895756,0.09967999905347824,0.0016329127740535806,0.0164480004459619,0.0451200008392334,0.0387520002201199,0.0423039998859167,0.0091908268059968,0.0080960001796484,0.0397440008819103,0.0334864000789821,0.0377120003104209,0.0106799080897381,0.0122239999473094,0.0417920015752315,0.0350959998555481,0.0384799987077713,0.0093578630118995,0.0270719993859529,1.4193600416183472,0.1690960023552179,0.1163839995861053,0.2886276599424794,0.2035199999809265,0.2327360063791275,0.2188879996538162,0.2189439982175827,0.0053540308383866,16,2,2048,512,151936,True,True,True,20,2,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.02969600073993206,0.047648001462221146,0.038070400198921564,0.04024000093340874,0.006115028274868359,0.1016319990158081,0.12015999853610992,0.10543840043246747,0.10361599922180176,0.0047014137897813625,0.0590719990432262,0.2060479968786239,0.0745503993704915,0.0599359981715679,0.0438084339279681,0.0105600003153085,0.0375359989702701,0.0131247998680919,0.0105919996276497,0.0074686811815695,0.0272959992289543,0.0642879977822303,0.0442239998839795,0.0429599992930889,0.0117417238308842,0.09583999961614609,0.1053759977221489,0.09800479970872403,0.09751999750733376,0.002368156767637892,0.0403200015425682,0.0502399988472461,0.0421215999871492,0.0417760014533996,0.0019652816244069,0.0361599996685981,0.0404159985482692,0.0378928000107407,0.0377280004322528,0.0010384120790668,0.0373440012335777,0.0520960018038749,0.0392208002507686,0.0383040010929107,0.0031132283194247,0.0526719987392425,0.0576639994978904,0.0539119999855756,0.0535040013492107,0.0012988959406497,0.4271039962768554,1.6191359758377075,0.4887743979692459,0.4293120056390762,0.2593250437978359,16,2,2048,512,151936,True,True,True,24,1,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.10838399827480316,0.14956800639629364,0.12354959938675165,0.12281599640846252,0.013284017406201025,0.11552000045776367,0.12243200093507767,0.11825760006904602,0.11790399998426437,0.0019244078358935336,0.0439359992742538,0.4841600060462951,0.2210911981761455,0.215839996933937,0.0750864506397081,0.0090880002826452,0.3760640025138855,0.0499712001066654,0.0350719988346099,0.0752367332864382,0.0193920005112886,0.051520001143217,0.0467936004512012,0.0495360009372234,0.009144629880913,0.09779199957847595,0.10902400314807892,0.09982880018651485,0.09918399900197983,0.0024137060737836127,0.0160639993846416,0.0432640016078949,0.0400240002200007,0.0426400005817413,0.0079814498426289,0.0072320001199841,0.0493759997189044,0.0355072002159431,0.0378559995442628,0.0097015293331437,0.0117440000176429,0.0405759997665882,0.0346480002161115,0.038511998951435,0.0096219103241077,0.0255679991096258,0.3938240110874176,0.1098832002840936,0.1177280023694038,0.0751085075432786,0.1982720047235489,0.2328960001468658,0.2165632009506225,0.2193760052323341,0.0092843143478517,16,2,2048,512,151936,True,True,True,24,2,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.03062400035560131,0.045152001082897186,0.03720639972016215,0.03681599907577038,0.0058926249072259245,0.09916800260543823,0.11552000045776367,0.1034752007573843,0.10167999938130379,0.00455649374726973,0.0596479997038841,0.2582719922065735,0.0795264000073075,0.0607520006597042,0.0571217495066486,0.0103040002286434,0.0395199991762638,0.0132511998992413,0.0105919996276497,0.0081852837327579,0.0320959985256195,0.0654719993472099,0.0489199997857213,0.0483519993722438,0.010078622763919,0.09347199648618698,0.10047999769449234,0.09590719863772393,0.09563199803233147,0.0017892234451464008,0.0407680012285709,0.0504000000655651,0.0430720003321766,0.0425119996070861,0.0022053548299504,0.0368640013039112,0.0423359982669353,0.0388688001781702,0.0387520007789135,0.0013645389331436,0.0373440012335777,0.0684159994125366,0.0410976001992821,0.0396159999072551,0.0063732165743975,0.0531839989125728,0.0731519982218742,0.0562784001231193,0.0548000000417232,0.0043478694043166,0.4346559941768646,0.4441919922828674,0.4369087994098663,0.4366399943828583,0.0020408967816153,16,2,2048,512,151936,True,True,True,32,1,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
0.10809600353240967,0.14422400295734406,0.1233367994427681,0.12375999614596367,0.012875179011030443,0.11580800265073776,0.13228799402713776,0.11915359906852245,0.11801599711179733,0.0036248584143750923,0.0437760017812252,0.4254719913005829,0.1607919991016388,0.1808479949831962,0.1196666702172344,0.0090880002826452,0.3849920034408569,0.0422319999895989,0.0347840003669261,0.0799545566982553,0.0195519998669624,0.0693439990282058,0.0407663999125361,0.0495040006935596,0.0157551161936454,0.0968639999628067,0.10927999764680862,0.09992319978773594,0.09851199761033058,0.0032625625462898884,0.0159680005162954,0.3909760117530823,0.0529344000853598,0.0428159981966018,0.0785525670635418,0.0072320001199841,0.3860479891300201,0.0474927993491292,0.0388320013880729,0.079047544049087,0.011455999687314,0.3842880129814148,0.0500720008276402,0.0407679993659257,0.0778371364458094,0.0258239991962909,0.4796479940414428,0.1374560004100203,0.1169919967651367,0.1274704669188394,0.1995519995689392,0.5784000158309937,0.2667728029191494,0.2203999981284141,0.1299722865315198,16,2,2048,512,151936,True,True,True,32,2,2048,512,generic,False,512,,CUDA_EVENT,BF16,none
