time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,time_stats.add.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
0.0165759995579719,0.0307199992239475,0.0201239999383687,0.0207679998129606,0.0029890652631258,40.0,0.0166400000452995,0.0248319990932941,0.0181360000744462,0.0172000005841255,0.0019438221120233,20.0,0.0329920016229152,0.0464639998972415,0.0356175998225808,0.0346239991486072,0.002559619657045,40.0,0.0550399981439113,0.0724800005555152,0.0584591997787356,0.0569759998470544,0.0039810531501828,20,0.0206080004572868,0.0264320001006126,0.0219983999617397,0.021599999628961,0.0012843716772809,20,0.0250240005552768,0.0320000015199184,0.027116800379008,0.0265279999002814,0.0015091454711112,20,0.0163199994713068,0.0199679993093013,0.01726880017668,0.0169760007411241,0.0008364969427983,20.0,16,4,4096,448,32064,True,False,False,128,1,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
0.0160000007599592,0.0274560004472732,0.0193800000008195,0.0194400008767843,0.0027733560156163,40.0,0.0155199998989701,0.0176320001482963,0.0165568000171333,0.0166239999234676,0.0004958863405498,20.0,0.0313600003719329,0.0413759984076023,0.0340008000843226,0.0335999988019466,0.0016063389853054,40.0,0.051520001143217,0.065760001540184,0.0547584006562829,0.0540480017662048,0.0029967211332591,20,0.0200640000402927,0.0240959990769624,0.021174400113523,0.020911999978125,0.0008967481015351,20,0.0250240005552768,0.0270080007612705,0.0257376003079116,0.0255679991096258,0.0004716174948022,20,0.0158079992979764,0.0180479995906353,0.0164431997574865,0.0164480004459619,0.0004771408591994,20.0,16,4,4096,448,32064,True,False,False,64,1,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
0.0164800006896257,0.0266239996999502,0.0193823999725282,0.0193760003894567,0.0025380376404659,40.0,0.0160639993846416,0.0177599992603063,0.0166255999356508,0.0165439993143081,0.000461563323397,20.0,0.0320320017635822,0.0393280014395713,0.0335776002146303,0.0333760008215904,0.0013175534794763,40.0,0.0564160011708736,0.067840002477169,0.0589408000931143,0.0582720004022121,0.0023684740360586,20,0.0202239993959665,0.0241279993206262,0.0215584001503884,0.0213919999077916,0.000956799958624,20,0.0251839999109506,0.0271680001169443,0.0259504001587629,0.0258879996836185,0.0004626712389771,20,0.0155840003862977,0.0173119995743036,0.0164480000268667,0.0163679998368024,0.0004735566381935,20.0,16,4,4096,448,32064,True,False,False,32,1,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
0.0163199994713068,0.0270399991422891,0.0203007998876273,0.0199359999969601,0.0032589513630711,40.0,0.0157120004296302,0.0227520000189542,0.016865599900484,0.01655999943614,0.0014423970595121,20.0,0.0315520018339157,0.03923200070858,0.0338720001280307,0.0334560014307498,0.0016576185927138,40.0,0.0546559989452362,0.0751039981842041,0.0586783999577164,0.0582240000367164,0.0040209254072438,20,0.0199999995529651,0.0238719992339611,0.0214671998284757,0.0213440004736185,0.0008701572986593,20,0.0250560007989406,0.0270719993859529,0.0260223998688161,0.026095999404788,0.0005433973803474,20,0.0157760009169578,0.0186560004949569,0.016644800081849,0.0166560001671314,0.0007056907240979,20.0,16,4,4096,448,32064,True,False,False,16,1,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
0.0141120003536343,0.0299520008265972,0.0171967999776825,0.0167680000886321,0.0029121917153161,40.0,0.0157120004296302,0.018079999834299,0.0164192000404,0.0163039993494749,0.0006061359128808,20.0,0.0317439995706081,0.0355519987642765,0.0333223999477922,0.0331519991159439,0.0009219495649853,40.0,0.054976001381874,0.0641599968075752,0.0579919997602701,0.0569599997252225,0.0026059050572751,20,0.0200640000402927,0.0232640001922845,0.021257600095123,0.0211040005087852,0.0008062540103497,20,0.0246719997376203,0.0269440002739429,0.0256111999042332,0.0255200006067752,0.0005052833777943,20,0.0155520001426339,0.0175679996609687,0.0164543997962027,0.0163519997149705,0.0004468097848516,20.0,16,4,4096,448,32064,True,False,False,8,1,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
0.0142719997093081,0.0260480009019374,0.016635200032033,0.0158560001291334,0.002369194918247,40.0,0.0157120004296302,0.0174720007926225,0.0162944000214338,0.0163039993494749,0.0003905573310494,20.0,0.0317119993269443,0.0359679982066154,0.0332087999209761,0.0331039987504482,0.0010029200225549,40.0,0.0546879991888999,0.0640320032835006,0.0576975999400019,0.0572159998118877,0.0024622227964073,20,0.0198079999536275,0.0235520005226135,0.0210928001441061,0.0210079997777938,0.0009285116190807,20,0.0247680004686117,0.0278719998896121,0.0255519997328519,0.0253759995102882,0.0007003908857273,20,0.0156800001859664,0.0173760000616312,0.0164335999637842,0.0163839999586343,0.0004271100909754,20.0,16,4,4096,448,32064,True,False,False,4,1,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
0.0137919997796416,0.0193920005112886,0.0157648000633344,0.0157759999856352,0.0015931300415815,40.0,0.015871999785304,0.0174080003052949,0.0163711999543011,0.0163199994713068,0.0004084734559203,20.0,0.0317439995706081,0.0390399992465972,0.033215999789536,0.0328960008919239,0.0012757330772061,40.0,0.0551999993622303,0.0645759999752044,0.0575328001752495,0.0573920011520385,0.0019839977842339,20,0.0201280005276203,0.0229439996182918,0.0211071997880935,0.0209919996559619,0.0007439157813379,20,0.0244800001382827,0.0263039991259574,0.0252975998446345,0.0252960007637739,0.0004763031039056,20,0.0158399995416402,0.0222079996019601,0.0166880000382661,0.0165120000019669,0.0013136574536562,20.0,16,4,4096,448,32064,True,False,False,2,1,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
0.0135359996929764,0.018368000164628,0.0158759998623281,0.0159359998069703,0.0015389336204539,40.0,0.0157760009169578,0.0176960006356239,0.0166047998704016,0.0165439993143081,0.0004382831954084,20.0,0.0315520018339157,0.0374719984829425,0.0333512001670897,0.033007999882102,0.0011812614812402,40.0,0.0547839999198913,0.0635839998722076,0.057345600426197,0.0566240008920431,0.0021081046794035,20,0.0195840001106262,0.0227520000189542,0.021055999957025,0.0210079997777938,0.0007355824394837,20,0.0247680004686117,0.0291200000792741,0.0257471998222172,0.0255999993532896,0.0008682209496206,20,0.0158079992979764,0.0205119997262954,0.0166287999600172,0.0163199994713068,0.0009872544050917,20.0,16,4,4096,448,32064,True,False,False,1,1,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0608640015125274,0.0989760011434555,0.0665871996432542,0.0636479966342449,0.008395681929879,20,0.0222079996019601,0.0318400003015995,0.0240159999579191,0.0234240004792809,0.0020158859165352,20,0.0250240005552768,0.0282559990882873,0.0260720001533627,0.0258080000057816,0.0009176734118542,20,,,,,,,16,4,4096,448,32064,True,False,False,128,2,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0633279979228973,0.0826560035347938,0.0670848008245229,0.0655359998345375,0.0045355581167684,20,0.0218560006469488,0.0258239991962909,0.0229423999786376,0.0226720003411173,0.0009619963044657,20,0.0242880005389451,0.0303680002689361,0.0254096001386642,0.0249600000679492,0.0013748264700972,20,,,,,,,16,4,4096,448,32064,True,False,False,64,2,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0607360005378723,0.0861120000481605,0.0667056001722812,0.0651200003921985,0.0050804721565975,20,0.0213760007172822,0.0291200000792741,0.0229824001900851,0.0226080007851123,0.0017002691903319,20,0.0239679999649524,0.02844800055027,0.0252000001259148,0.0249760001897811,0.0009785149357503,20,,,,,,,16,4,4096,448,32064,True,False,False,32,2,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0622080005705356,0.0773760005831718,0.0649632001295685,0.0642879977822303,0.0030736812739258,20,0.021663999184966,0.0247039999812841,0.0225776000879704,0.022448000498116,0.00068336880207,20,0.0240640006959438,0.0269120000302791,0.0249231999740004,0.0247360002249479,0.0006464692944205,20,,,,,,,16,4,4096,448,32064,True,False,False,16,2,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0603520013391971,0.0766400024294853,0.0658000003546476,0.0645759999752044,0.0039766729199318,20,0.0211200006306171,0.0254720002412796,0.022817600145936,0.0227039996534585,0.0009132329424757,20,0.0238080006092786,0.0292799994349479,0.0254240000620484,0.0250240005552768,0.0013995564066949,20,,,,,,,16,4,4096,448,32064,True,False,False,8,2,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0616960003972053,0.0746560022234916,0.0653296006843447,0.0642880015075206,0.0033747560974735,20,0.0210560001432895,0.026240000501275,0.0226688000373542,0.022512000054121,0.0010990685180885,20,0.0242240000516176,0.0273279994726181,0.0251104000024497,0.0247680004686117,0.0008204801082951,20,,,,,,,16,4,4096,448,32064,True,False,False,4,2,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0617600008845329,0.0861440002918243,0.0662560001015663,0.0653280019760131,0.0050621379382838,20,0.0217599999159574,0.0270080007612705,0.0229296000674366,0.0226719994097948,0.0011127756974323,20,0.0239359997212886,0.0297919996082782,0.0251263998448848,0.0248319990932941,0.001199107944864,20,,,,,,,16,4,4096,448,32064,True,False,False,2,2,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0619519986212253,0.0716480016708374,0.0653936000540852,0.064640000462532,0.0029305341936583,20,0.0216000005602836,0.0251519996672868,0.0227152001112699,0.0227199997752904,0.0008059473079496,20,0.0238719992339611,0.0264320001006126,0.0250975999981164,0.0250399997457861,0.0007818158940396,20,,,,,,,16,4,4096,448,32064,True,False,False,1,2,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0593280009925365,0.0733759999275207,0.0649760007858276,0.0640319995582103,0.0039674393784464,20,0.0213760007172822,0.0271680001169443,0.0236064000055193,0.0231039999052882,0.00148764200416,20,0.0239359997212886,0.0363840013742446,0.0263840001076459,0.0253760004416108,0.0028992162156727,20,,,,,,,16,4,4096,448,32064,True,False,False,128,4,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0638080015778541,0.0796800032258033,0.0677023995667696,0.0658080019056797,0.0045873440870327,20,0.0216959994286298,0.0260160006582736,0.022952000144869,0.0225760005414485,0.0011253303441117,20,0.02403200045228,0.0267520006746053,0.0251536001451313,0.0251359995454549,0.0006501968568059,20,,,,,,,16,4,4096,448,32064,True,False,False,64,4,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0630720034241676,0.0931840017437934,0.0703312009572982,0.0677120015025138,0.0070745214964767,20,0.0220800004899501,0.0285439994186162,0.0236976000480353,0.0230719996616244,0.0017651550768993,20,0.0242560002952814,0.0307519994676113,0.0261647999286651,0.0253119999542832,0.0018788735183224,20,,,,,,,16,4,4096,448,32064,True,False,False,32,4,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0617280006408691,0.0726080015301704,0.0643152007833123,0.0636320002377033,0.0024707081517958,20,0.0213760007172822,0.0248000007122755,0.0224479999393224,0.0223519997671246,0.0007373553916931,20,0.0236159991472959,0.0260480009019374,0.0245616002939641,0.0244800001382827,0.0006746217235435,20,,,,,,,16,4,4096,448,32064,True,False,False,16,4,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0611199997365474,0.0744320005178451,0.0649088006466627,0.0643679983913898,0.0028713544398412,20,0.0212799999862909,0.0249279998242855,0.0226336000487208,0.022512000054121,0.0008503274262596,20,0.0242240000516176,0.0264960005879402,0.0247840001247823,0.0247039999812841,0.000513946430471,20,,,,,,,16,4,4096,448,32064,True,False,False,8,4,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0615999996662139,0.0723839998245239,0.0648079996928572,0.0638559982180595,0.0026495321032519,20,0.0209599994122982,0.0242240000516176,0.0224415999837219,0.0224959999322891,0.0007369107245276,20,0.0234880000352859,0.0359679982066154,0.0251823998056352,0.0244800001382827,0.0025582486022928,20,,,,,,,16,4,4096,448,32064,True,False,False,4,4,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0611519999802112,0.0745280012488365,0.0649168007075786,0.0639839991927146,0.0031606263056646,20,0.0216000005602836,0.0247680004686117,0.0226192000322043,0.022512000054121,0.0007488461739894,20,0.0238400008529424,0.0316799990832805,0.0250528000295162,0.0245920000597834,0.0016506819519961,20,,,,,,,16,4,4096,448,32064,True,False,False,2,4,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.061184000223875,0.084256000816822,0.0656655998900532,0.0643519982695579,0.0049810595741599,20,0.0212799999862909,0.025407999753952,0.0223695999011397,0.022287999279797,0.0009774138514511,20,0.0238080006092786,0.0279680006206035,0.0248815997503697,0.0247359992936253,0.0010535961833407,20,,,,,,,16,4,4096,448,32064,True,False,False,1,4,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0638720020651817,0.0760319977998733,0.068113599717617,0.0661599971354007,0.0039633966315431,20,0.0221120007336139,0.0248319990932941,0.0232080000452697,0.0229599997401237,0.000753793321094,20,0.0239359997212886,0.0304320007562637,0.0255024000070989,0.0250719999894499,0.0014079810948225,20,,,,,,,16,4,4096,448,32064,True,False,False,128,8,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0622720010578632,0.0805760025978088,0.0671744002029299,0.0659359991550445,0.0044855809386942,20,0.0218880008906126,0.0247039999812841,0.0230127999559044,0.0228319996967911,0.0007271308203691,20,0.0239679999649524,0.0282879993319511,0.0253807999193668,0.024992000311613,0.0011068149791187,20,,,,,,,16,4,4096,448,32064,True,False,False,64,8,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0621760003268718,0.1119360029697418,0.0701504001393914,0.0660640001296997,0.0111425438079008,20,0.021536000072956,0.0401280000805854,0.0243503998033702,0.0229919999837875,0.0043622757240378,20,0.0238400008529424,0.0511040017008781,0.0265520001761615,0.0251040002331137,0.0057109817269941,20,,,,,,,16,4,4096,448,32064,True,False,False,32,8,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0600319989025592,0.0748799964785575,0.0655199997127056,0.0655039995908737,0.0030017887338215,20,0.0214719995856285,0.0347520001232624,0.0234704000875353,0.0228320006281137,0.0027358873476963,20,0.0239039994776248,0.0348160006105899,0.0260847999714314,0.0253280000761151,0.0024529681346745,20,,,,,,,16,4,4096,448,32064,True,False,False,16,8,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0608320012688636,0.0740479975938797,0.0645359996706247,0.0632959976792335,0.0036020665376002,20,0.0210239998996257,0.0245120003819465,0.022376000136137,0.0220160000026226,0.0010113152279519,20,0.0236799996346235,0.0260160006582736,0.0248367998749017,0.0248159999027848,0.0005229113631293,20,,,,,,,16,4,4096,448,32064,True,False,False,8,8,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0614079982042312,0.072512000799179,0.0640000002458691,0.0635999999940395,0.0024647065313733,20,0.0214079990983009,0.0245120003819465,0.0224976000376045,0.0224639996886253,0.0007448151388147,20,0.0239039994776248,0.0271039996296167,0.0248527999036014,0.0246239993721246,0.0008669151120461,20,,,,,,,16,4,4096,448,32064,True,False,False,4,8,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0614719986915588,0.0728640034794807,0.0646336004137992,0.0636320002377033,0.002764855942512,20,0.0214399993419647,0.0251519996672868,0.0225088001228868,0.0223999992012977,0.0007921792494246,20,0.0238400008529424,0.0270719993859529,0.0249135999009013,0.0247999997809529,0.00077730852853,20,,,,,,,16,4,4096,448,32064,True,False,False,2,8,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0609599985182285,0.0740159973502159,0.0638223990797996,0.0629760026931762,0.0030944089376946,20,0.0208000000566244,0.0251519996672868,0.0223600000143051,0.0221120007336139,0.0009619114554497,20,0.0240959990769624,0.0269760005176067,0.0247679998166859,0.0245600007474422,0.0007277452034194,20,,,,,,,16,4,4096,448,32064,True,False,False,1,8,4096,448,generic,False,,,CUDA_EVENT,BF16,none,generic
