time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,time_stats.add.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
0.001952,0.002912,0.0027367142857142,0.002784,0.0001926682673002,21.0,0.002848,0.003264,0.00303855,0.003072,0.0001617987870782,40.0,0.002848,0.003008,0.0028817,0.002864,4.469015551550485e-05,20.0,0.013856,0.014688,0.0141040499999999,0.014064,0.0001819833714931,20,0.003264,0.00352,0.0033742999999999,0.00336,7.658988183826903e-05,20,0.009344,0.010272,0.0096064499999999,0.009505,0.0002583086283886,20,0.003136,0.003264,0.0031954,0.0032,3.400941046239991e-05,20.0,16,4,4096,448,32064,True,False,False,128,1,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.001856,0.002624,0.002415238095238,0.002431,0.0001395048743855,21.0,0.002688,0.003168,0.002901575,0.002896,0.0001752077177951,40.0,0.002688,0.002784,0.00272955,0.00272,2.881748601110084e-05,20.0,0.012384,0.012992,0.01265735,0.0127029999999999,0.0001770876266146,20,0.003008,0.003424,0.00322065,0.0032,9.972425732989934e-05,20,0.0088,0.009408,0.0090687,0.009072,0.0001622606236891,20,0.003008,0.003168,0.0030736,0.003072,3.714619765198046e-05,20.0,16,4,4096,448,32064,True,False,False,64,1,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.001728,0.002624,0.0022933333333333,0.0022719999999999,0.0001638644426211,21.0,0.00272,0.003168,0.002881525,0.002816,0.0001453469964429,40.0,0.00272,0.002784,0.0027503499999999,0.0027519999999999,1.591626526544458e-05,20.0,0.01536,0.016448,0.0157760999999999,0.0157115,0.0002838594546602,20,0.003008,0.0032,0.00308475,0.003072,5.938928775461112e-05,20,0.008735,0.009472,0.0090174,0.008992,0.0001546972527228,20,0.002848,0.003168,0.0030127,0.003024,8.708851818695742e-05,20.0,16,4,4096,448,32064,True,False,False,32,1,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.008256,0.012447,0.0118354285714285,0.011968,0.000824985400819,21.0,0.002688,0.003072,0.0028512,0.002864,0.0001216,40.0,0.002688,0.0028799999999999,0.0027408,0.00272,3.823297006511512e-05,20.0,0.01504,0.016097,0.0153311499999999,0.01528,0.0002773934525182,20,0.002912,0.0032,0.00300315,0.002992,6.42660680297154e-05,20,0.008513,0.009504,0.00879215,0.0086555,0.0003081237210926,20,0.002848,0.003072,0.0029616,0.002976,6.111497361530978e-05,20.0,16,4,4096,448,32064,True,False,False,16,1,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.005152,0.007264,0.007020238095238,0.007072,0.0004313217675009,21.0,0.00256,0.003264,0.002848775,0.002863,0.0002474276144148,40.0,0.00256,0.0026869999999999,0.00260645,0.0025925,3.2487651500223896e-05,20.0,0.014271,0.014879,0.01444745,0.0144315,0.0001450139562249,20,0.002848,0.00304,0.0028992,0.0028799999999999,5.5793906477320777e-05,20,0.008256,0.008896,0.0084447,0.008384,0.0001546363799369,20,0.003039,0.003264,0.0030911,0.003072,6.27900469819859e-05,20.0,16,4,4096,448,32064,True,False,False,8,1,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.003584,0.004832,0.0045897142857142,0.00464,0.0002545992449128,21.0,0.00256,0.00336,0.00285685,0.0028325,0.0002643637219816,40.0,0.00256,0.002657,0.00260005,0.002592,2.658096123167859e-05,20.0,0.014079,0.014912,0.0144574999999999,0.014464,0.0002519356068522,20,0.002848,0.003041,0.00291365,0.0028799999999999,6.367831263467975e-05,20,0.008192,0.00896,0.00839995,0.008368,0.0001592640810101,20,0.003008,0.00336,0.00311365,0.003104,8.471910941458248e-05,20.0,16,4,4096,448,32064,True,False,False,4,1,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.0028799999999999,0.003616,0.0034362857142857,0.003456,0.0001469694308536,21.0,0.00256,0.003328,0.0028752,0.002864,0.0002705392023348,40.0,0.00256,0.002688,0.0026112,0.0026235,2.9275587099151423e-05,20.0,0.013919,0.01472,0.0141199,0.014064,0.0002076578676573,20,0.002624,0.003008,0.00270245,0.002688,8.84858604523909e-05,20,0.008225,0.00944,0.00864645,0.008608,0.0003274731248514,20,0.00304,0.003328,0.0031391999999999,0.003136,7.831896322092107e-05,20.0,16,4,4096,448,32064,True,False,False,2,1,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.002528,0.002976,0.0028204761904761,0.002816,9.88383090601437e-05,21.0,0.002624,0.003328,0.0029176,0.0028799999999999,0.0002570866390927,40.0,0.002624,0.0027519999999999,0.0026655,0.002656,3.8024334313699696e-05,20.0,0.013919,0.014528,0.0141344,0.014112,0.0001678792423142,20,0.002688,0.002944,0.0027952,0.002784,7.314273716508017e-05,20,0.008192,0.0086389999999999,0.00839505,0.008384,0.0001127388464549,20,0.003008,0.003328,0.0031697,0.003168,6.026947817925743e-05,20.0,16,4,4096,448,32064,True,False,False,1,1,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.009633,0.0099849999999999,0.0097986,0.0098085,8.85524703212734e-05,20,0.00256,0.002912,0.00269445,0.00272,9.465752743443064e-05,20,0.005792,0.006112,0.00595025,0.005952,8.365815859795144e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,128,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0089909999999999,0.009216,0.00910545,0.0091035,7.616657731577566e-05,20,0.002336,0.002464,0.00242245,0.002432,4.8580320089517736e-05,20,0.0045119999999999,0.004768,0.0046176499999999,0.004608,6.570104641480235e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,64,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0076479999999999,0.008064,0.0078704,0.007872,0.0001101455400822,20,0.002336,0.002463,0.00239355,0.0024,3.283972442028109e-05,20,0.004224,0.0045119999999999,0.00435045,0.004352,6.435563300908481e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,32,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007424,0.0077129999999999,0.0075679,0.007599,0.0001050113803356,20,0.002336,0.0024,0.00237435,0.002368,2.171928866238481e-05,20,0.004128,0.00432,0.00422245,0.004224,5.009638210489839e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,16,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0070399999999999,0.007424,0.0072464,0.007232,0.0001110852825535,20,0.002112,0.0024,0.00221285,0.0022085,9.547684274210148e-05,20,0.004064,0.004192,0.0041167,0.004128,2.73717007144243e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,8,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0073919999999999,0.007744,0.0075663499999999,0.0075515,0.0001244344305246,20,0.002016,0.002304,0.0021903499999999,0.002208,0.0001133019306984,20,0.004032,0.0041589999999999,0.00410065,0.0041115,3.534016836405863e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,4,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007551,0.0079049999999999,0.00773425,0.007728,0.0001249179230534,20,0.002048,0.00224,0.002144,0.002144,8.763560920082672e-05,20,0.004127,0.004192,0.00415185,0.00416,1.994310657846462e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,2,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007584,0.007969,0.00777455,0.007808,0.0001190816841499,20,0.00192,0.002176,0.00206075,0.002064,0.000106841412851,20,0.00416,0.004256,0.00421265,0.0042235,3.388403016171472e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,1,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.009023,0.009248,0.0091295,0.0091355,5.913670602933496e-05,20,0.002336,0.002464,0.0024063,0.0024155,4.239351365480344e-05,20,0.004288,0.0045439999999999,0.0043935,0.004384,6.08165273589341e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,128,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007457,0.007713,0.0075872499999999,0.007584,8.574897958576544e-05,20,0.0022069999999999,0.002336,0.00226385,0.00224,4.634789639239295e-05,20,0.00352,0.003648,0.0035887999999999,0.003584,3.2437015892341345e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,64,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007456,0.007552,0.0075008499999999,0.007488,3.39621480474954e-05,20,0.002208,0.002336,0.00227835,0.002288,3.85918061251348e-05,20,0.003552,0.003679,0.00358875,0.003584,3.384505133693853e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,32,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007232,0.007393,0.00733765,0.007344,4.067096630275701e-05,20,0.002175,0.002304,0.0022367,0.00224,4.63940728973e-05,20,0.00336,0.003584,0.0034687499999999,0.003456,7.26910414012621e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,16,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0069759999999999,0.0071679999999999,0.0070607999999999,0.0070399999999999,5.559640276132967e-05,20,0.001919,0.002176,0.0020415,0.002048,0.0001015379239496,20,0.003328,0.003456,0.0033888,0.003392,3.340898082851375e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,8,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0070399999999999,0.0072,0.0070974,0.0070719999999999,5.29286311933344e-05,20,0.001888,0.002144,0.0020208,0.002016,9.399234011343698e-05,20,0.003328,0.003424,0.00337125,0.003392,2.9145968846480364e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,4,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0069439999999999,0.0071039999999999,0.0070112,0.0070079999999999,4.61243970150287e-05,20,0.00192,0.002144,0.0020304,0.0020315,9.56197678307159e-05,20,0.00336,0.003456,0.0034015499999999,0.003392,2.2874603821705792e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,2,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0069119999999999,0.007105,0.0069938,0.006992,6.844749812812739e-05,20,0.001824,0.00208,0.00195685,0.0019525,9.006068787212314e-05,20,0.003391,0.003488,0.0034303,0.003424,2.7978741930258385e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,1,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.008319,0.008448,0.00836805,0.008352,3.859854271860506e-05,20,0.002271,0.002368,0.0023152,0.0023045,2.916607618449903e-05,20,0.00368,0.003936,0.0038063,0.0038075,8.000318743650153e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,128,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007456,0.0076159999999999,0.0075296,0.00752,4.048752894410809e-05,20,0.002176,0.0022719999999999,0.00222235,0.002208,2.1441256959422788e-05,20,0.003136,0.003232,0.0031808,0.003168,2.752744085453633e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,64,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007424,0.007552,0.00749125,0.007488,3.472301110214939e-05,20,0.002079,0.002336,0.00219355,0.002192,7.811304308500592e-05,20,0.003072,0.003169,0.0031265,0.003136,3.2192390405187405e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,32,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0073279999999999,0.007488,0.0074145,0.007424,4.070933553866989e-05,20,0.002144,0.0022719999999999,0.0022112,0.002224,4.159999999999986e-05,20,0.002975,0.003072,0.0030271,0.0030235,2.956163053689691e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,16,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.00688,0.0071039999999999,0.0070047,0.007024,6.300960244280223e-05,20,0.001952,0.002176,0.0020656,0.002064,9.245452936443956e-05,20,0.002976,0.003104,0.00303515,0.00304,4.8848004053389965e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,8,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0070079999999999,0.0071359999999999,0.0070704999999999,0.007072,4.6865232315651565e-05,20,0.001888,0.002112,0.00200005,0.002,0.0001003755323771,20,0.002944,0.00304,0.0029983,0.003008,2.7048290149286788e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,4,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.006848,0.007103,0.006976,0.0069759999999999,7.072269791233914e-05,20,0.001888,0.002144,0.00201435,0.002016,9.778613142976882e-05,20,0.002944,0.003104,0.00301425,0.003008,4.247690548992479e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,2,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0069119999999999,0.0070719999999999,0.0069743999999999,0.00696,4.578908166801347e-05,20,0.001952,0.002176,0.0020528,0.002048,9.002810672228989e-05,20,0.002976,0.003072,0.0030223999999999,0.003008,3.275118318473398e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,1,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
