time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj_qkv.min,time_stats.attn_pre_proj_qkv.max,time_stats.attn_pre_proj_qkv.mean,time_stats.attn_pre_proj_qkv.median,time_stats.attn_pre_proj_qkv.std,time_stats.attn_pre_proj_qkv.count,time_stats.attn_pre_proj_q_norm.min,time_stats.attn_pre_proj_q_norm.max,time_stats.attn_pre_proj_q_norm.mean,time_stats.attn_pre_proj_q_norm.median,time_stats.attn_pre_proj_q_norm.std,time_stats.attn_pre_proj_q_norm.count,time_stats.attn_pre_proj_wq.min,time_stats.attn_pre_proj_wq.max,time_stats.attn_pre_proj_wq.mean,time_stats.attn_pre_proj_wq.median,time_stats.attn_pre_proj_wq.std,time_stats.attn_pre_proj_wq.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,time_stats.share_expert_up_proj.min,time_stats.share_expert_up_proj.max,time_stats.share_expert_up_proj.mean,time_stats.share_expert_up_proj.median,time_stats.share_expert_up_proj.std,time_stats.share_expert_up_proj.count,time_stats.share_expert_act.min,time_stats.share_expert_act.max,time_stats.share_expert_act.mean,time_stats.share_expert_act.median,time_stats.share_expert_act.std,time_stats.share_expert_act.count,time_stats.share_expert_down_proj.min,time_stats.share_expert_down_proj.max,time_stats.share_expert_down_proj.mean,time_stats.share_expert_down_proj.median,time_stats.share_expert_down_proj.std,time_stats.share_expert_down_proj.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
0.0142080001533031,0.0249600000679492,0.0171535998582839,0.0167839992791414,0.0024059333655228,40.0,0.0159040000289678,0.0181760005652904,0.0170623999089002,0.0170719996094703,0.0005038958796617,20.0,0.0353280007839202,0.0434559993445873,0.036651200056076,0.0363040007650852,0.0016577195067113,20.0,0.0306880008429288,0.042688000947237,0.0335712002590298,0.0327039994299411,0.0031774712013401,20.0,0.0433599986135959,0.0460160002112388,0.0440991999581456,0.0439839996397495,0.0005634998666978,20,0.1719679981470108,0.3070079982280731,0.1839632004499435,0.175135999917984,0.0288633918862801,20,0.0126080000773072,0.01961600035429,0.0145711999386549,0.0140959997661411,0.0019790202448037,20,0.1084799990057945,0.1119360029697418,0.1098992001265287,0.1097920015454292,0.0009097954106728,20,0.0075199999846518,0.0084480000659823,0.008148799999617,0.0081599997356534,0.000187213600892,20.0,0.0552639998495578,0.0674879997968673,0.0580255998298525,0.0565599985420703,0.0034110272440289,20,0.0067839999683201,0.0077439998276531,0.0073792000534012,0.0074080000631511,0.0002138021263379,20,0.0330559983849525,0.0476160012185573,0.0398447996005415,0.0402719993144273,0.0039602930120287,20,64,1,7168,5120,128815,True,False,False,128,1,7168,5120,generic,False,5120,2048,CUDA_EVENT,BF16,none,step3_text
0.0152960000559687,0.0262080002576112,0.0179255999391898,0.0176479993388056,0.0018715881500418,40.0,0.0162560008466243,0.018368000164628,0.0169152000918984,0.0168639998883008,0.0005139363793728,20.0,0.0329600013792514,0.0423679985105991,0.0342448003590106,0.0335999988019466,0.002007378684467,20.0,0.0316479988396167,0.0364799983799457,0.0330895999446511,0.0329439993947744,0.0010565559843719,20.0,0.0417920015752315,0.0447040013968944,0.0426208002492785,0.0425920002162456,0.0006002793343751,20,0.1707199960947036,0.2181439995765686,0.1793439991772175,0.1760319992899894,0.0106781913606183,20,0.0131200002506375,0.0206400007009506,0.0153968000784516,0.0149280000478029,0.0016918978455816,20,0.1033599972724914,0.1055359989404678,0.1045504003763198,0.1046719998121261,0.0005426437886102,20,0.0070719998329877,0.0077760000713169,0.0074272000463679,0.007424000184983,0.0001708033085627,20.0,0.0578560009598732,0.0653119981288909,0.062996800430119,0.063824001699686,0.0022025044325876,20,0.0071040000766515,0.0075520002283155,0.0073184000561013,0.0073279999196529,0.0001007365205514,20,0.0394879989326,0.0477119982242584,0.0422175999730825,0.0419359989464283,0.0017379885007798,20,64,1,7168,5120,128815,True,False,False,64,1,7168,5120,generic,False,5120,2048,CUDA_EVENT,BF16,none,step3_text
0.0160959996283054,0.0248639993369579,0.0185288000851869,0.017744000069797,0.0023009033109343,40.0,0.0160639993846416,0.018079999834299,0.0170895999297499,0.0170080000534653,0.0005509648940859,20.0,0.0353280007839202,0.0382080003619194,0.0363600002601742,0.0362560003995895,0.0007885822739488,20.0,0.0316159985959529,0.0711679980158805,0.0346495999023318,0.0323360003530979,0.008429552784953,20.0,0.0417600013315677,0.0438399985432624,0.0424303997308015,0.0422400012612342,0.0005533755090877,20,0.1728319972753524,0.2269439995288849,0.1799552001059055,0.176656000316143,0.0116402096487142,20,0.0135679999366402,0.0188800003379583,0.0151424000971019,0.0149920000694692,0.0011858407596635,20,0.0952320024371147,0.099040001630783,0.0961968004703521,0.0961120016872882,0.0007863981286264,20,0.0068479999899864,0.0077439998276531,0.0074128000298514,0.007424000184983,0.0001791070971597,20.0,0.0648640021681785,0.0670399963855743,0.0658192001283168,0.0657920017838478,0.0005869424446937,20,0.0069439997896552,0.0075199999846518,0.0072527999989688,0.0072800000198185,0.0001277097027418,20,0.0382080003619194,0.042943999171257,0.0408672004938125,0.0411200001835823,0.0013224517551373,20,64,1,7168,5120,128815,True,False,False,32,1,7168,5120,generic,False,5120,2048,CUDA_EVENT,BF16,none,step3_text
0.0163199994713068,0.0249279998242855,0.0191823999863117,0.0186560004949569,0.0024354917102056,40.0,0.0159040000289678,0.018495999276638,0.0169487998820841,0.0168960001319646,0.0006151391355937,20.0,0.0345279984176158,0.0370559990406036,0.0353375997394323,0.0352320000529289,0.000651740521589,20.0,0.0306880008429288,0.0700159966945648,0.0345648000948131,0.0323680005967617,0.0082784633756389,20.0,0.0414399988949298,0.0432960018515586,0.0419680001214146,0.0419199988245964,0.0004357766787845,20,0.1715520024299621,0.2134400010108947,0.1784416005015373,0.1751680001616478,0.0097398452533363,20,0.012351999990642,0.0748480036854744,0.0180640001781284,0.0153120001778006,0.0130967509167613,20,0.0996159985661506,0.1071360036730766,0.1025087997317314,0.1018400005996227,0.0018821175570446,20,0.0067839999683201,0.0074880002066493,0.0072656000498682,0.0072960001416504,0.0001454064739109,20.0,0.0570879988372325,0.0738240033388137,0.0645904000848531,0.0647520013153553,0.0028911874492731,20,0.0067520001903176,0.0073600001633167,0.0070848000235855,0.0071199999656528,0.0001453800198455,20,0.0395199991762638,0.042688000947237,0.0408175999298691,0.0405759997665882,0.0008613574664396,20,64,1,7168,5120,128815,True,False,False,16,1,7168,5120,generic,False,5120,2048,CUDA_EVENT,BF16,none,step3_text
0.0132160000503063,0.0201919991523027,0.0155232000630348,0.0153919998556375,0.0011294865858458,40.0,0.0158399995416402,0.0178880002349615,0.0168287998996675,0.016847999766469,0.000505144200088,20.0,0.0340159982442855,0.0371840000152587,0.0348943999037146,0.0347039997577667,0.0006712739360736,20.0,0.0313280001282691,0.0695680007338523,0.034252799861133,0.0323520004749298,0.0081582770755374,20.0,0.0407680012285709,0.0422400012612342,0.0413615999743342,0.0413279999047517,0.0003922419472088,20,0.1702719926834106,0.2124799937009811,0.1764063984155655,0.1738559976220131,0.0092166167802621,20,0.0134720001369714,0.0196480005979537,0.015537599986419,0.0157599998638033,0.0013863971084743,20,0.0968319997191429,0.1045119985938072,0.099100799486041,0.0991040021181106,0.0014772395100881,20,0.0071040000766515,0.0077120000496506,0.007336000027135,0.0072960001416504,0.0001295407329367,20.0,0.0649920031428337,0.0671039968729019,0.0661792002618312,0.0661759972572326,0.000550817558204,20,0.0067520001903176,0.0074559999629855,0.0072048000060021,0.0071999998763203,0.0001296986837,20,0.0404799990355968,0.0462719984352588,0.0435839997604489,0.0439999997615814,0.0014089086236059,20,64,1,7168,5120,128815,True,False,False,8,1,7168,5120,generic,False,5120,2048,CUDA_EVENT,BF16,none,step3_text
0.0135679999366402,0.0191040001809597,0.0152535999659448,0.0151999997906386,0.0011719251309596,40.0,0.0156800001859664,0.0180479995906353,0.0165743998251855,0.0165120000019669,0.0006134053454867,20.0,0.033984001725912,0.0359679982066154,0.0348591996356844,0.0347840003669261,0.0005135248142663,20.0,0.0312319993972778,0.0732799991965293,0.0353871997445821,0.032575998455286,0.0090581609589942,20.0,0.0401280000805854,0.0435840003192424,0.0414288001134991,0.0416800007224082,0.000836925287401,20,0.169632002711296,0.2208320051431656,0.1785727992653846,0.1747839972376823,0.0116310365151664,20,0.0137599995359778,0.018368000164628,0.0158448000438511,0.015808000229299,0.0012873101288438,20,0.0970560014247894,0.1004479974508285,0.0988143999129533,0.0991200022399425,0.0009054060977492,20,0.0066880001686513,0.0074559999629855,0.0072320000268518,0.0072800000198185,0.0001911983170411,20.0,0.0650240033864975,0.0666880011558532,0.0659423995763063,0.0659999996423721,0.0005000708927106,20,0.006624000146985,0.0074880002066493,0.0070768000092357,0.0071680000983178,0.00022948148078,20,0.040192000567913,0.0474560000002384,0.0436207996681332,0.04377599991858,0.0016017357997643,20,64,1,7168,5120,128815,True,False,False,4,1,7168,5120,generic,False,5120,2048,CUDA_EVENT,BF16,none,step3_text
0.0142080001533031,0.0224319994449615,0.0159095999784767,0.0153920003212988,0.0017134630196991,40.0,0.0165119990706443,0.0241919998079538,0.0177967999130487,0.017119999974966,0.0018743172735203,20.0,0.0338240005075931,0.0536319985985755,0.03687200024724,0.0349920000880956,0.004728457156086,20.0,0.0317439995706081,0.0743359997868537,0.0363247999921441,0.0334560014307498,0.009056041050962,20.0,0.0399679988622665,0.0466560013592243,0.0416096000000834,0.0412000007927417,0.0015563026947922,20,0.1719039976596832,0.2594879865646362,0.1873215965926647,0.1770079955458641,0.0222668539687243,20,0.014623999595642,0.0223999992012977,0.0170255999080836,0.0165759995579719,0.0021745754676674,20,0.096511997282505,0.1082239970564842,0.0990575991570949,0.0985279977321624,0.0025951870807724,20,0.0071680000983178,0.0079039996489882,0.0073840000433847,0.0073760000523179,0.0001740619910879,20.0,0.0646720007061958,0.0675520002841949,0.0661488000303506,0.0660479962825775,0.000690360916164,20,0.0069439997896552,0.0072639998979866,0.0071295999689027,0.0071519999764859,9.416919381345824e-05,20,0.042272001504898,0.0553280003368854,0.0450272001326084,0.0446240007877349,0.0025918004689387,20,64,1,7168,5120,128815,True,False,False,2,1,7168,5120,generic,False,5120,2048,CUDA_EVENT,BF16,none,step3_text
0.0125120002776384,0.019328000023961,0.0149952000239864,0.0145279997959733,0.0013426049144212,40.0,0.0162240006029605,0.0204160008579492,0.0171391999348998,0.0166400000452995,0.001165757989613,20.0,0.033280000090599,0.0434559993445873,0.0352656001225113,0.0343680009245872,0.0023907762897836,20.0,0.0224959999322891,0.0606079995632171,0.0259872002527117,0.0236160000786185,0.0082325923917417,20.0,0.0396480001509189,0.0417920015752315,0.0403872000053524,0.0402400009334087,0.0004978960647697,20,0.1601279973983764,0.2008319944143295,0.1688879996538162,0.1640639975666999,0.0103803330548162,20,0.0138240000233054,0.0252480003982782,0.01638880004175,0.0159200001507997,0.0022861145397474,20,0.0953920036554336,0.1005439981818199,0.0974256005138158,0.0972800031304359,0.001179470622604,20,0.0071680000983178,0.0078079998493194,0.0073536000447347,0.0073279999196529,0.0001317840086529,20.0,0.0642239972949028,0.0660160034894943,0.0650800000876188,0.0650880001485347,0.0004690898909636,20,0.0067520001903176,0.0081919999793171,0.0069615999935194,0.0068800000008195,0.0002952812730744,20,0.0425599999725818,0.0460800006985664,0.0446703998371958,0.0444959998130798,0.0009131207332934,20,64,1,7168,5120,128815,True,False,False,1,1,7168,5120,generic,False,5120,2048,CUDA_EVENT,BF16,none,step3_text
,,,,,,,,,,,,,,,,,,,,,,,,0.0327359996736049,0.035615999251604,0.0335568001493811,0.0334080010652542,0.0007119747784855,20,0.1710399985313415,0.2762880027294159,0.1846416026353836,0.1776960045099258,0.0225859428348133,20,0.0221759993582963,0.0256639998406171,0.0236032000742852,0.0235200002789497,0.0009030804595754,20,0.060224000364542,0.0620479993522167,0.0609840000048279,0.0608639996498823,0.0004817966536007,20,,,,,,,0.0430399999022483,0.0474560000002384,0.0438832001760602,0.0437280014157295,0.0009277944293226,20,0.0064320000819861,0.0089279999956488,0.0069711999967694,0.0066559999249875,0.0006224205392411,20,0.030112000182271,0.0313600003719329,0.0307488000020384,0.0307040000334382,0.0003374293805727,20,64,1,7168,5120,128815,True,False,False,128,2,7168,5120,generic,False,5120,2048,CUDA_EVENT,BF16,none,step3_text
,,,,,,,,,,,,,,,,,,,,,,,,0.0313920006155967,0.0335040017962455,0.0321280000731349,0.0320160016417503,0.0004890874179084,20,0.1651519984006881,0.1860159933567047,0.1724912002682685,0.1720800027251243,0.0059005280511152,20,0.0218560006469488,0.0244800001382827,0.0228752001188695,0.0226240009069442,0.0007663498557952,20,0.0579200014472007,0.0622400008141994,0.0587551997974514,0.0585599988698959,0.0008983912105371,20,,,,,,,0.0413439981639385,0.0430720001459121,0.042060799524188,0.0419359989464283,0.0005093331735758,20,0.0062719997949898,0.0192319992929697,0.007574399956502,0.0068639998789876,0.0027233126590014,20,0.0293119996786117,0.0316799990832805,0.0301472000777721,0.0300159994512796,0.0005311325436225,20,64,1,7168,5120,128815,True,False,False,64,2,7168,5120,generic,False,5120,2048,CUDA_EVENT,BF16,none,step3_text
,,,,,,,,,,,,,,,,,,,,,,,,0.0310399997979402,0.0333120003342628,0.0322368002496659,0.0323520004749298,0.0006387508211643,20,0.1700800061225891,0.1938560009002685,0.1779376000165939,0.1758399978280067,0.006641642863737,20,0.0221759993582963,0.0250560007989406,0.0230767998844385,0.022911999374628,0.0006832039249969,20,0.0573760010302066,0.0591679997742176,0.058300800062716,0.058415999636054,0.0005168661766621,20,,,,,,,0.041152000427246,0.0425920002162456,0.0417151998728513,0.0416480004787445,0.0004039355272379,20,0.0063680000603199,0.0089279999956488,0.007387200044468,0.0071839999873191,0.0007319033821878,20,0.0293760001659393,0.0304000005125999,0.0298096000216901,0.0297919996082782,0.0002971825229173,20,64,1,7168,5120,128815,True,False,False,32,2,7168,5120,generic,False,5120,2048,CUDA_EVENT,BF16,none,step3_text
,,,,,,,,,,,,,,,,,,,,,,,,0.0305599998682737,0.0384959988296031,0.0320975998416543,0.03175999969244,0.0016178671650699,20,0.168160006403923,0.1988800019025802,0.174931202083826,0.1732480004429817,0.0066301912887199,20,0.0210880003869533,0.0251839999109506,0.0228816001676023,0.0227680001407861,0.0010042328219146,20,0.0563840009272098,0.0595519989728927,0.0577263999730348,0.0577600002288818,0.0008046248905344,20,,,,,,,0.0403200015425682,0.0421120002865791,0.0410960000008344,0.0409439988434314,0.0005079714373198,20,0.0063999998383224,0.0112960003316402,0.007902400009334,0.0075360001064836,0.001136314376457,20,0.0286720003932714,0.0306240003556013,0.0296784000471234,0.0296160001307725,0.000384596239637,20,64,1,7168,5120,128815,True,False,False,16,2,7168,5120,generic,False,5120,2048,CUDA_EVENT,BF16,none,step3_text
